,time,d_A11,,d11,,time,c_A11,,c11,,time,d_A12,,d12,,time,c_A12,,c12,,time,d_A14,,d14,,time,c_A14,,c14,
set5,0.028,0.8554639201,0.0416403045,0.8130391659,0.0514995285,0.035496384,0.8063995602,0.0459993949,0.7600953953,0.0548938195,0.0313682114,0.8887543678,0.0465507098,0.8357101203,0.0613492623,0.0389619087,0.8074221397,0.0492215823,0.7467541792,0.0614826429,0.0515169585,0.6975129268,0.0230677136,0.6427687861,0.0291105761,0.0884435737,0.6682726193,0.0271086903,0.6185531973,0.0315206731
set6,0.0252250715,0.6216215628,0.0189101443,0.4788667117,0.026801131,0.0293758724,0.6414928676,0.0460358944,0.5574239559,0.0565966028,0.0319058425,0.5466550917,0.0101441961,0.4156596144,0.0119673982,0.0388202116,0.4947714495,0.0113211838,0.4041269125,0.0120753301,0.0595635053,0.5471628028,0.0092853199,0.4247223325,0.0101273673,0.0829393359,0.4953698694,0.0105305464,0.3983257775,0.0118057961
set7,0.0282627879,0.8062399259,0.0382876512,0.7442430003,0.0486088371,0.0340747362,0.668197562,0.0383525372,0.6020692472,0.0430836216,0.0363698666,0.7164333427,0.0360166443,0.6510222263,0.0485181365,0.043837971,0.6748574916,0.0437240054,0.6223269463,0.05240133,0.0591129787,0.6014903084,0.0177166171,0.5396768616,0.0225473917,0.0812812873,0.5671581019,0.0258515579,0.5141283662,0.029743414
set8,0.0222982281,0.8479900707,0.0313804903,0.763803416,0.0408357296,0.0312408322,0.8051245125,0.0488856467,0.7564933826,0.0577815017,0.0296446605,0.7538196898,0.0449189658,0.6819520126,0.0502541022,0.0387438647,0.7270591298,0.0480756132,0.6478038384,0.054339636,0.0573337048,0.7111918,0.0512412288,0.6371860454,0.0556957421,0.0778119425,0.6703756085,0.0524162065,0.6065081709,0.0601596235
set9,0.0243910124,0.7412900029,0.0251620949,0.6608290087,0.0273225383,0.0346710456,0.6747498925,0.0204223371,0.6237526894,0.0229907493,0.0392864157,0.7023500092,0.0318692001,0.622121218,0.0331649993,0.0420489115,0.6170623338,0.0220198052,0.5463552249,0.0246863347,0.0580991849,0.6062658592,0.0238311955,0.545278198,0.0246691335,0.0820886254,0.6280169752,0.0202184858,0.5570693949,0.0217363105
set10,0.0304327916,0.8854434508,0.071130714,0.8104997145,0.0802953643,0.0381339148,0.8652904317,0.0734189047,0.8021207325,0.0826251366,0.0345595291,0.8645116057,0.0645700751,0.7792857486,0.0741796186,0.0425288544,0.6844885857,0.0432751419,0.6202564964,0.0473890939,0.0575378878,0.6191186732,0.0095348517,0.5212779466,0.0112217093,0.0735569093,0.5811746688,0.0104512942,0.5086703968,0.0120103782
set11,0.029143522,0.8166732915,0.0391871277,0.7436602344,0.0500929242,0.0333300404,0.7357818698,0.0508908782,0.6856450401,0.0546663298,0.0325888159,0.7559357315,0.0251690249,0.6571793782,0.0328745692,0.04081168,0.7099231398,0.0329805077,0.6467689969,0.0358900395,0.0595804972,0.611059438,0.0036181982,0.5189353447,0.0039011978,0.0765915203,0.6026675264,0.0043553069,0.5255598036,0.0045002976
set12,0.0267463171,0.8655351419,0.0336095453,0.7795385273,0.0452606369,0.0301803969,0.7023568295,0.0157020452,0.6247786613,0.0203799893,0.0311308287,0.760037015,0.0244955732,0.6777190237,0.0352154232,0.0410431168,0.7385127656,0.0265089463,0.6582842555,0.0360899886,0.0549015399,0.6762294262,0.0218033979,0.6097837736,0.0275858885,0.0750298221,0.6908808076,0.036824534,0.6186167741,0.0457445219
set13,0.0278474232,0.8217573849,0.0134223322,0.721780426,0.0196862121,0.0330574324,0.7558722361,0.0180486063,0.6762339526,0.0248297801,0.0342147901,0.8025273437,0.0187181747,0.7080497223,0.0208978874,0.0408461668,0.7230923979,0.0180681144,0.6137405956,0.0279508524,0.0612718824,0.7133592284,0.0129489676,0.6102847521,0.0143731229,0.0756218117,0.6797557288,0.0177654228,0.568472945,0.022733586
set14,0.031955154,0.8637724051,0.0261105572,0.7940900484,0.0355005725,0.03845292,0.7965877289,0.0305598975,0.7667467948,0.0328319956,0.0422765918,0.7741104216,0.0279028645,0.7165684211,0.0331490792,0.0585072405,0.7639635478,0.032498597,0.7222524107,0.0346435363,0.0771065265,0.5520045891,0.0075689567,0.4847593796,0.0089541237,0.0958410578,0.5252136017,0.0096754218,0.4742346056,0.0111262097
set15,0.0252070047,0.8402375065,0.0214204008,0.7742106328,0.0228191136,0.0355202492,0.8443677857,0.024509852,0.7860572163,0.0254383742,0.0335565708,0.7279554055,0.0113074428,0.6506352901,0.0082850074,0.0472268799,0.7556560351,0.0133926722,0.6759391652,0.0127036777,0.060435357,0.6905209815,0.0116853329,0.6049699807,0.0121877822,0.0810370773,0.6724195704,0.0115410215,0.5731975644,0.0115535449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,time,d_A11,,d11,,time,c_A11,,c11,,time,d_A12,,d12,,time,c_A12,,c12,,time,d_A14,,d14,,time,c_A14,,c14,
set5,0.028,0.855,0.042,0.813,0.051,0.035,0.806,0.046,0.760,0.055,0.031,0.889,0.047,0.836,0.061,0.039,0.807,0.049,0.747,0.061,0.052,0.698,0.023,0.643,0.029,0.088,0.668,0.027,0.619,0.032
set6,0.025,0.622,0.019,0.479,0.027,0.029,0.641,0.046,0.557,0.057,0.032,0.547,0.010,0.416,0.012,0.039,0.495,0.011,0.404,0.012,0.060,0.547,0.009,0.425,0.010,0.083,0.495,0.011,0.398,0.012
set7,0.028,0.806,0.038,0.744,0.049,0.034,0.668,0.038,0.602,0.043,0.036,0.716,0.036,0.651,0.049,0.044,0.675,0.044,0.622,0.052,0.059,0.601,0.018,0.540,0.023,0.081,0.567,0.026,0.514,0.030
set8,0.022,0.848,0.031,0.764,0.041,0.031,0.805,0.049,0.756,0.058,0.030,0.754,0.045,0.682,0.050,0.039,0.727,0.048,0.648,0.054,0.057,0.711,0.051,0.637,0.056,0.078,0.670,0.052,0.607,0.060
set9,0.024,0.741,0.025,0.661,0.027,0.035,0.675,0.020,0.624,0.023,0.039,0.702,0.032,0.622,0.033,0.042,0.617,0.022,0.546,0.025,0.058,0.606,0.024,0.545,0.025,0.082,0.628,0.020,0.557,0.022
set10,0.030,0.885,0.071,0.810,0.080,0.038,0.865,0.073,0.802,0.083,0.035,0.865,0.065,0.779,0.074,0.043,0.684,0.043,0.620,0.047,0.058,0.619,0.010,0.521,0.011,0.074,0.581,0.010,0.509,0.012
set11,0.029,0.817,0.039,0.744,0.050,0.033,0.736,0.051,0.686,0.055,0.033,0.756,0.025,0.657,0.033,0.041,0.710,0.033,0.647,0.036,0.060,0.611,0.004,0.519,0.004,0.077,0.603,0.004,0.526,0.005
set12,0.027,0.866,0.034,0.780,0.045,0.030,0.702,0.016,0.625,0.020,0.031,0.760,0.024,0.678,0.035,0.041,0.739,0.027,0.658,0.036,0.055,0.676,0.022,0.610,0.028,0.075,0.691,0.037,0.619,0.046
set13,0.028,0.822,0.013,0.722,0.020,0.033,0.756,0.018,0.676,0.025,0.034,0.803,0.019,0.708,0.021,0.041,0.723,0.018,0.614,0.028,0.061,0.713,0.013,0.610,0.014,0.076,0.680,0.018,0.568,0.023
set14,0.032,0.864,0.026,0.794,0.036,0.038,0.797,0.031,0.767,0.033,0.042,0.774,0.028,0.717,0.033,0.059,0.764,0.032,0.722,0.035,0.077,0.552,0.008,0.485,0.009,0.096,0.525,0.010,0.474,0.011
set15,0.025,0.840,0.021,0.774,0.023,0.036,0.844,0.025,0.786,0.025,0.034,0.728,0.011,0.651,0.008,0.047,0.756,0.013,0.676,0.013,0.060,0.691,0.012,0.605,0.012,0.081,0.672,0.012,0.573,0.012
